,Distance
"('C6', 'C17')",28.56
"('C6', 'C18')",26.14
"('C6', 'C19')",29.83
"('C6', 'C20')",13.06
"('C6', 'C21')",17.96
"('C6', 'C22')",26.25
"('C6', 'C23')",22.99
"('C6', 'C24')",18.6
"('C6', 'C25')",30.91
"('C6', 'C26')",23.56
"('C6', 'C27')",26.85
"('C6', 'C28')",24.28
"('C6', 'C29')",14.77
"('C6', 'C30')",23.35
"('C6', 'C31')",13.39
"('C6', 'C32')",22.77
"('C6', 'C33')",30.65
"('C6', 'C34')",22.18
"('C6', 'C35')",19.13
"('C6', 'C36')",31.4
"('C6', 'C37')",23.91
"('C6', 'C38')",19.63
"('C7', 'CD1')",5.84
"('C7', 'CD2')",29.77
"('C7', 'CD3')",10.19
"('C7', 'CD4')",1.95
"('C7', 'CD5')",17.72
"('C7', 'CD6')",13.81
"('C7', 'CD7')",17.87
"('C7', 'CD8')",10.49
"('C7', 'CD9')",7.4
"('C7', 'CD10')",27.46
"('C7', 'CD11')",10.4
"('C7', 'CD12')",23.07
"('C7', 'C1')",15.82
"('C7', 'C2')",8.49
"('C7', 'C3')",16.57
"('C7', 'C4')",6.07
"('C7', 'C5')",16.29
"('C7', 'C6')",11.62
"('C7', 'C7')",0.0
"('C7', 'C8')",28.09
"('C7', 'C9')",6.36
"('C7', 'C10')",8.13
"('C7', 'C11')",15.09
"('C7', 'C12')",9.59
"('C7', 'C13')",17.62
"('C7', 'C14')",8.86
"('C7', 'C15')",18.95
"('C7', 'C16')",17.43
"('C7', 'C17')",20.04
"('C7', 'C18')",20.41
"('C7', 'C19')",21.31
"('C7', 'C20')",7.19
"('C7', 'C21')",9.44
"('C7', 'C22')",22.99
"('C7', 'C23')",19.73
"('C7', 'C24')",15.34
"('C7', 'C25')",27.65
"('C7', 'C26')",15.04
"('C7', 'C27')",23.59
"('C7', 'C28')",15.76
"('C7', 'C29')",6.24
"('C7', 'C30')",14.82
"('C7', 'C31')",15.76
"('C7', 'C32')",14.25
"('C7', 'C33')",22.12
"('C7', 'C34')",18.92
"('C7', 'C35')",13.26
"('C7', 'C36')",25.32
"('C7', 'C37')",20.65
"('C7', 'C38')",11.1
"('C8', 'CD1')",31.3
"('C8', 'CD2')",12.07
"('C8', 'CD3')",38.29
"('C8', 'CD4')",27.72
"('C8', 'CD5')",11.6
"('C8', 'CD6')",16.92
"('C8', 'CD7')",18.12
"('C8', 'CD8')",21.95
"('C8', 'CD9')",29.84
"('C8', 'CD10')",10.38
"('C8', 'CD11')",20.13
"('C8', 'CD12')",9.2
"('C8', 'C1')",21.98
"('C8', 'C2')",36.59
"('C8', 'C3')",13.44
"('C8', 'C4')",34.17
"('C8', 'C5')",44.4
"('C8', 'C6')",39.72
"('C8', 'C7')",28.11
"('C8', 'C8')",0.0
"('C8', 'C9')",28.79
"('C8', 'C10')",22.01
"('C8', 'C11')",21.77
"('C8', 'C12')",28.03
"('C8', 'C13')",16.52
"('C8', 'C14')",23.27
"('C8', 'C15')",14.65
"('C8', 'C16')",12.14
"('C8', 'C17')",16.76
"('C8', 'C18')",10.72
"('C8', 'C19')",13.77
"('C8', 'C20')",26.72
"('C8', 'C21')",27.27
"('C8', 'C22')",9.45
"('C8', 'C23')",15.42
"('C8', 'C24')",17.76
"('C8', 'C25')",12.94
"('C8', 'C26')",19.49
"('C8', 'C27')",13.22
"('C8', 'C28')",14.34
"('C8', 'C29')",26.9
"('C8', 'C30')",16.08
"('C8', 'C31')",43.86
"('C8', 'C32')",20.45
"('C8', 'C33')",15.38
"('C8', 'C34')",14.78
"('C8', 'C35')",20.37
"('C8', 'C36')",7.89
"('C8', 'C37')",12.13
"('C8', 'C38')",19.91
"('C9', 'CD1')",5.28
"('C9', 'CD2')",28.62
"('C9', 'CD3')",16.51
"('C9', 'CD4')",5.86
"('C9', 'CD5')",18.42
"('C9', 'CD6')",14.86
"('C9', 'CD7')",16.72
"('C9', 'CD8')",7.96
"('C9', 'CD9')",1.79
"('C9', 'CD10')",26.31
"('C9', 'CD11')",10.08
"('C9', 'CD12')",21.92
"('C9', 'C1')",11.41
"('C9', 'C2')",14.82
"('C9', 'C3')",18.94
"('C9', 'C4')",12.39
"('C9', 'C5')",15.59
"('C9', 'C6')",17.94
"('C9', 'C7')",6.28
"('C9', 'C8')",31.54
"('C9', 'C9')",0.0
"('C9', 'C10')",10.76
"('C9', 'C11')",10.69
"('C9', 'C12')",13.07
"('C9', 'C13')",13.7
"('C9', 'C14')",11.48
"('C9', 'C15')",17.8
"('C9', 'C16')",19.8
"('C9', 'C17')",19.34
"('C9', 'C18')",19.26
"('C9', 'C19')",17.39
"('C9', 'C20')",9.66
"('C9', 'C21')",3.38
"('C9', 'C22')",21.84
"('C9', 'C23')",18.58
"('C9', 'C24')",14.19
"('C9', 'C25')",26.51
"('C9', 'C26')",10.63
"('C9', 'C27')",22.44
"('C9', 'C28')",16.57
"('C9', 'C29')",2.48
"('C9', 'C30')",15.64
"('C9', 'C31')",16.42
"('C9', 'C32')",9.85
"('C9', 'C33')",18.21
"('C9', 'C34')",17.78
"('C9', 'C35')",15.89
"('C9', 'C36')",24.17
"('C9', 'C37')",19.5
"('C9', 'C38')",9.17
"('C10', 'CD1')",13.15
"('C10', 'CD2')",21.35
"('C10', 'CD3')",15.36
"('C10', 'CD4')",9.57
"('C10', 'CD5')",17.14
"('C10', 'CD6')",10.4
"('C10', 'CD7')",9.46
"('C10', 'CD8')",8.3
"('C10', 'CD9')",11.68
"('C10', 'CD10')",19.04
"('C10', 'CD11')",8.19
"('C10', 'CD12')",14.66
"('C10', 'C1')",15.36
"('C10', 'C2')",13.66
"('C10', 'C3')",15.99
"('C10', 'C4')",11.24
"('C10', 'C5')",21.46
"('C10', 'C6')",16.79
"('C10', 'C7')",9.95
"('C10', 'C8')",24.13
"('C10', 'C9')",10.64
"('C10', 'C10')",0.0
"('C10', 'C11')",14.63
"('C10', 'C12')",3.39
"('C10', 'C13')",17.38
"('C10', 'C14')",1.26
"('C10', 'C15')",10.53
"('C10', 'C16')",16.84
"('C10', 'C17')",16.38
"('C10', 'C18')",14.47
"('C10', 'C19')",21.6
"('C10', 'C20')",4.53
"('C10', 'C21')",8.98
"('C10', 'C22')",14.57
"('C10', 'C23')",11.31
"('C10', 'C24')",4.66
"('C10', 'C25')",19.24
"('C10', 'C26')",14.58
"('C10', 'C27')",15.18
"('C10', 'C28')",14.22
"('C10', 'C29')",8.61
"('C10', 'C30')",11.12
"('C10', 'C31')",20.93
"('C10', 'C32')",13.79
"('C10', 'C33')",22.41
"('C10', 'C34')",10.51
"('C10', 'C35')",5.67
"('C10', 'C36')",19.72
"('C10', 'C37')",12.24
"('C10', 'C38')",8.91
"('C11', 'CD1')",18.62
"('C11', 'CD2')",24.14
"('C11', 'CD3')",25.61
"('C11', 'CD4')",15.04
"('C11', 'CD5')",11.45
"('C11', 'CD6')",6.92
"('C11', 'CD7')",11.43
"('C11', 'CD8')",7.66
"('C11', 'CD9')",17.15
"('C11', 'CD10')",21.82
"('C11', 'CD11')",8.4
"('C11', 'CD12')",15.96
"('C11', 'C1')",1.04
"('C11', 'C2')",23.91
"('C11', 'C3')",10.29
"('C11', 'C4')",21.49
"('C11', 'C5')",31.71
"('C11', 'C6')",27.04
"('C11', 'C7')",15.43
"('C11', 'C8')",21.82
"('C11', 'C9')",11.5
"('C11', 'C10')",15.52
"('C11', 'C11')",0.0
"('C11', 'C12')",17.83
"('C11', 'C13')",8.54
"('C11', 'C14')",16.24
"('C11', 'C15')",13.43
"('C11', 'C16')",11.15
"('C11', 'C17')",9.41
"('C11', 'C18')",12.96
"('C11', 'C19')",12.23
"('C11', 'C20')",17.64
"('C11', 'C21')",11.47
"('C11', 'C22')",14.62
"('C11', 'C23')",13.67
"('C11', 'C24')",13.72
"('C11', 'C25')",22.02
"('C11', 'C26')",3.04
"('C11', 'C27')",17.96
"('C11', 'C28')",9.26
"('C11', 'C29')",10.15
"('C11', 'C30')",8.34
"('C11', 'C31')",31.18
"('C11', 'C32')",2.04
"('C11', 'C33')",13.05
"('C11', 'C34')",12.8
"('C11', 'C35')",15.0
"('C11', 'C36')",16.84
"('C11', 'C37')",15.03
"('C11', 'C38')",5.2
"('C12', 'CD1')",16.95
"('C12', 'CD2')",19.39
"('C12', 'CD3')",16.13
"('C12', 'CD4')",9.77
"('C12', 'CD5')",18.35
"('C12', 'CD6')",14.84
"('C12', 'CD7')",10.67
"('C12', 'CD8')",12.4
"('C12', 'CD9')",14.26
"('C12', 'CD10')",17.08
"('C12', 'CD11')",11.57
"('C12', 'CD12')",15.87
"('C12', 'C1')",17.93
"('C12', 'C2')",10.3
"('C12', 'C3')",17.2
"('C12', 'C4')",12.01
"('C12', 'C5')",22.23
"('C12', 'C6')",17.55
"('C12', 'C7')",10.12
"('C12', 'C8')",25.34
"('C12', 'C9')",13.22
"('C12', 'C10')",3.51
"('C12', 'C11')",17.21
"('C12', 'C12')",0.0
"('C12', 'C13')",18.59
"('C12', 'C14')",3.12
"('C12', 'C15')",11.74
"('C12', 'C16')",18.05
"('C12', 'C17')",17.59
"('C12', 'C18')",15.68
"('C12', 'C19')",22.81
"('C12', 'C20')",3.48
"('C12', 'C21')",11.56
"('C12', 'C22')",15.78
"('C12', 'C23')",11.25
"('C12', 'C24')",7.38
"('C12', 'C25')",17.28
"('C12', 'C26')",17.15
"('C12', 'C27')",13.22
"('C12', 'C28')",15.43
"('C12', 'C29')",11.19
"('C12', 'C30')",12.33
"('C12', 'C31')",21.7
"('C12', 'C32')",16.37
"('C12', 'C33')",23.63
"('C12', 'C34')",10.7
"('C12', 'C35')",6.7
"('C12', 'C36')",20.93
"('C12', 'C37')",12.93
"('C12', 'C38')",14.04
"('C13', 'CD1')",20.62
"('C13', 'CD2')",20.86
"('C13', 'CD3')",27.61
"('C13', 'CD4')",17.04
"('C13', 'CD5')",7.89
"('C13', 'CD6')",6.24
"('C13', 'CD7')",10.62
"('C13', 'CD8')",10.1
"('C13', 'CD9')",19.15
"('C13', 'CD10')",16.45
"('C13', 'CD11')",10.71
"('C13', 'CD12')",13.97
"('C13', 'C1')",8.45
"('C13', 'C2')",25.91
"('C13', 'C3')",5.35
"('C13', 'C4')",23.49
"('C13', 'C5')",33.71
"('C13', 'C6')",29.04
"('C13', 'C7')",17.42
"('C13', 'C8')",16.57
"('C13', 'C9')",18.11
"('C13', 'C10')",18.1
"('C13', 'C11')",7.93
"('C13', 'C12')",20.41
"('C13', 'C13')",0.0
"('C13', 'C14')",18.82
"('C13', 'C15')",11.76
"('C13', 'C16')",7.6
"('C13', 'C17')",3.33
"('C13', 'C18')",10.97
"('C13', 'C19')",4.21
"('C13', 'C20')",19.11
"('C13', 'C21')",16.58
"('C13', 'C22')",11.35
"('C13', 'C23')",12.54
"('C13', 'C24')",12.9
"('C13', 'C25')",20.47
"('C13', 'C26')",5.97
"('C13', 'C27')",16.41
"('C13', 'C28')",5.99
"('C13', 'C29')",12.59
"('C13', 'C30')",7.53
"('C13', 'C31')",33.18
"('C13', 'C32')",6.6
"('C13', 'C33')",5.02
"('C13', 'C34')",11.99
"('C13', 'C35')",14.19
"('C13', 'C36')",9.21
"('C13', 'C37')",13.47
"('C13', 'C38')",7.62
"('C14', 'CD1')",13.99
"('C14', 'CD2')",18.33
"('C14', 'CD3')",15.66
"('C14', 'CD4')",10.41
"('C14', 'CD5')",16.8
"('C14', 'CD6')",11.74
"('C14', 'CD7')",9.11
"('C14', 'CD8')",11.69
"('C14', 'CD9')",12.53
"('C14', 'CD10')",16.02
"('C14', 'CD11')",9.53
"('C14', 'CD12')",14.31
"('C14', 'C1')",16.2
"('C14', 'C2')",13.96
"('C14', 'C3')",15.64
"('C14', 'C4')",11.53
"('C14', 'C5')",21.76
"('C14', 'C6')",17.08
"('C14', 'C7')",10.8
"('C14', 'C8')",23.79
"('C14', 'C9')",11.48
"('C14', 'C10')",1.6
"('C14', 'C11')",15.47
"('C14', 'C12')",3.34
"('C14', 'C13')",17.03
"('C14', 'C14')",0.0
"('C14', 'C15')",10.19
"('C14', 'C16')",16.5
"('C14', 'C17')",16.04
"('C14', 'C18')",14.12
"('C14', 'C19')",21.25
"('C14', 'C20')",4.82
"('C14', 'C21')",9.82
"('C14', 'C22')",14.23
"('C14', 'C23')",10.19
"('C14', 'C24')",5.83
"('C14', 'C25')",16.22
"('C14', 'C26')",15.42
"('C14', 'C27')",12.16
"('C14', 'C28')",13.88
"('C14', 'C29')",9.45
"('C14', 'C30')",10.78
"('C14', 'C31')",21.23
"('C14', 'C32')",14.63
"('C14', 'C33')",22.07
"('C14', 'C34')",10.17
"('C14', 'C35')",5.64
"('C14', 'C36')",19.38
"('C14', 'C37')",11.89
"('C14', 'C38')",12.3
"('C15', 'CD1')",19.65
"('C15', 'CD2')",13.56
"('C15', 'CD3')",22.05
"('C15', 'CD4')",16.07
"('C15', 'CD5')",10.93
"('C15', 'CD6')",7.41
"('C15', 'CD7')",2.91
"('C15', 'CD8')",12.58
"('C15', 'CD9')",18.18
"('C15', 'CD10')",11.25
"('C15', 'CD11')",8.81
"('C15', 'CD12')",7.82
"('C15', 'C1')",12.16
"('C15', 'C2')",20.35
"('C15', 'C3')",9.77
"('C15', 'C4')",17.93
"('C15', 'C5')",28.16
"('C15', 'C6')",23.48
"('C15', 'C7')",16.46
"('C15', 'C8')",16.51
"('C15', 'C9')",17.14
"('C15', 'C10')",7.37
"('C15', 'C11')",11.96
"('C15', 'C12')",9.81
"('C15', 'C13')",11.16
"('C15', 'C14')",8.63
"('C15', 'C15')",0.0
"('C15', 'C16')",10.63
"('C15', 'C17')",10.17
"('C15', 'C18')",7.63
"('C15', 'C19')",15.79
"('C15', 'C20')",11.22
"('C15', 'C21')",15.48
"('C15', 'C22')",7.74
"('C15', 'C23')",3.1
"('C15', 'C24')",3.11
"('C15', 'C25')",11.45
"('C15', 'C26')",9.68
"('C15', 'C27')",7.39
"('C15', 'C28')",8.01
"('C15', 'C29')",15.11
"('C15', 'C30')",4.9
"('C15', 'C31')",27.62
"('C15', 'C32')",10.64
"('C15', 'C33')",16.2
"('C15', 'C34')",2.23
"('C15', 'C35')",5.72
"('C15', 'C36')",12.89
"('C15', 'C37')",4.46
"('C15', 'C38')",10.28
"('C16', 'CD1')",20.08
"('C16', 'CD2')",15.25
"('C16', 'CD3')",27.07
"('C16', 'CD4')",16.5
"('C16', 'CD5')",1.15
"('C16', 'CD6')",5.7
"('C16', 'CD7')",7.98
"('C16', 'CD8')",10.73
"('C16', 'CD9')",18.61
"('C16', 'CD10')",11.4
"('C16', 'CD11')",10.39
"('C16', 'CD12')",5.46
"('C16', 'C1')",10.75
"('C16', 'C2')",25.37
"('C16', 'C3')",2.21
"('C16', 'C4')",22.95
"('C16', 'C5')",33.17
"('C16', 'C6')",28.5
"('C16', 'C7')",16.88
"('C16', 'C8')",11.26
"('C16', 'C9')",17.57
"('C16', 'C10')",15.97
"('C16', 'C11')",10.55
"('C16', 'C12')",18.29
"('C16', 'C13')",6.54
"('C16', 'C14')",16.7
"('C16', 'C15')",9.16
"('C16', 'C16')",0.0
"('C16', 'C17')",5.54
"('C16', 'C18')",2.77
"('C16', 'C19')",5.99
"('C16', 'C20')",16.98
"('C16', 'C21')",16.05
"('C16', 'C22')",4.8
"('C16', 'C23')",9.94
"('C16', 'C24')",10.27
"('C16', 'C25')",12.96
"('C16', 'C26')",8.27
"('C16', 'C27')",8.9
"('C16', 'C28')",3.12
"('C16', 'C29')",15.67
"('C16', 'C30')",7.38
"('C16', 'C31')",32.64
"('C16', 'C32')",9.23
"('C16', 'C33')",11.57
"('C16', 'C34')",10.25
"('C16', 'C35')",11.55
"('C16', 'C36')",6.27
"('C16', 'C37')",6.57
"('C16', 'C38')",8.69
"('C17', 'CD1')",21.86
"('C17', 'CD2')",21.17
"('C17', 'CD3')",28.85
"('C17', 'CD4')",18.28
"('C17', 'CD5')",6.8
"('C17', 'CD6')",7.48
"('C17', 'CD7')",9.49
"('C17', 'CD8')",9.13
"('C17', 'CD9')",20.39
"('C17', 'CD10')",17.57
"('C17', 'CD11')",11.9
"('C17', 'CD12')",12.88
"('C17', 'C1')",7.48
"('C17', 'C2')",27.15
"('C17', 'C3')",4.25
"('C17', 'C4')",24.73
"('C17', 'C5')",34.95
"('C17', 'C6')",30.28
"('C17', 'C7')",18.67
"('C17', 'C8')",17.17
"('C17', 'C9')",19.35
"('C17', 'C10')",17.48
"('C17', 'C11')",6.96
"('C17', 'C12')",19.8
"('C17', 'C13')",2.18
"('C17', 'C14')",18.21
"('C17', 'C15')",10.67
"('C17', 'C16')",6.5
"('C17', 'C17')",0.0
"('C17', 'C18')",9.88
"('C17', 'C19')",6.4
"('C17', 'C20')",18.49
"('C17', 'C21')",17.83
"('C17', 'C22')",11.54
"('C17', 'C23')",11.45
"('C17', 'C24')",11.78
"('C17', 'C25')",19.37
"('C17', 'C26')",5.0
"('C17', 'C27')",15.31
"('C17', 'C28')",4.9
"('C17', 'C29')",11.62
"('C17', 'C30')",7.84
"('C17', 'C31')",34.42
"('C17', 'C32')",5.64
"('C17', 'C33')",7.22
"('C17', 'C34')",11.75
"('C17', 'C35')",13.06
"('C17', 'C36')",10.66
"('C17', 'C37')",12.37
"('C17', 'C38')",6.65
"('C18', 'CD1')",22.31
"('C18', 'CD2')",9.44
"('C18', 'CD3')",28.8
"('C18', 'CD4')",18.73
"('C18', 'CD5')",2.61
"('C18', 'CD6')",7.93
"('C18', 'CD7')",8.25
"('C18', 'CD8')",12.96
"('C18', 'CD9')",20.84
"('C18', 'CD10')",7.99
"('C18', 'CD11')",10.26
"('C18', 'CD12')",3.3
"('C18', 'C1')",12.98
"('C18', 'C2')",27.1
"('C18', 'C3')",4.44
"('C18', 'C4')",24.68
"('C18', 'C5')",34.91
"('C18', 'C6')",30.23
"('C18', 'C7')",19.11
"('C18', 'C8')",12.77
"('C18', 'C9')",19.8
"('C18', 'C10')",15.85
"('C18', 'C11')",12.78
"('C18', 'C12')",18.16
"('C18', 'C13')",8.77
"('C18', 'C14')",16.57
"('C18', 'C15')",5.84
"('C18', 'C16')",3.15
"('C18', 'C17')",7.77
"('C18', 'C18')",0.0
"('C18', 'C19')",8.31
"('C18', 'C20')",16.86
"('C18', 'C21')",18.28
"('C18', 'C22')",2.8
"('C18', 'C23')",6.62
"('C18', 'C24')",8.95
"('C18', 'C25')",10.8
"('C18', 'C26')",10.5
"('C18', 'C27')",6.74
"('C18', 'C28')",5.35
"('C18', 'C29')",17.9
"('C18', 'C30')",6.21
"('C18', 'C31')",34.38
"('C18', 'C32')",11.46
"('C18', 'C33')",9.92
"('C18', 'C34')",5.98
"('C18', 'C35')",11.82
"('C18', 'C36')",5.41
"('C18', 'C37')",4.41
"('C18', 'C38')",10.92
"('C19', 'CD1')",24.57
"('C19', 'CD2')",19.58
"('C19', 'CD3')",31.56
"('C19', 'CD4')",20.99
"('C19', 'CD5')",7.24
"('C19', 'CD6')",10.19
"('C19', 'CD7')",12.2
"('C19', 'CD8')",12.95
"('C19', 'CD9')",23.11
"('C19', 'CD10')",15.17
"('C19', 'CD11')",14.61
"('C19', 'CD12')",11.17
"('C19', 'C1')",11.3
"('C19', 'C2')",29.86
"('C19', 'C3')",6.97
"('C19', 'C4')",27.44
"('C19', 'C5')",37.67
"('C19', 'C6')",32.99
"('C19', 'C7')",21.38
"('C19', 'C8')",15.28
"('C19', 'C9')",22.06
"('C19', 'C10')",20.2
"('C19', 'C11')",10.78
"('C19', 'C12')",22.51
"('C19', 'C13')",4.45
"('C19', 'C14')",20.92
"('C19', 'C15')",13.38
"('C19', 'C16')",6.61
"('C19', 'C17')",4.95
"('C19', 'C18')",8.79
"('C19', 'C19')",0.0
"('C19', 'C20')",21.21
"('C19', 'C21')",20.54
"('C19', 'C22')",10.05
"('C19', 'C23')",14.16
"('C19', 'C24')",14.49
"('C19', 'C25')",17.73
"('C19', 'C26')",8.82
"('C19', 'C27')",14.61
"('C19', 'C28')",7.61
"('C19', 'C29')",20.17
"('C19', 'C30')",10.56
"('C19', 'C31')",37.14
"('C19', 'C32')",9.45
"('C19', 'C33')",2.49
"('C19', 'C34')",14.47
"('C19', 'C35')",15.78
"('C19', 'C36')",7.92
"('C19', 'C37')",12.27
"('C19', 'C38')",10.47
"('C20', 'CD1')",10.92
"('C20', 'CD2')",23.64
"('C20', 'CD3')",13.91
"('C20', 'CD4')",6.96
"('C20', 'CD5')",19.43
"('C20', 'CD6')",12.42
"('C20', 'CD7')",11.75
"('C20', 'CD8')",10.72
"('C20', 'CD9')",10.68
"('C20', 'CD10')",21.33
"('C20', 'CD11')",10.21
"('C20', 'CD12')",16.94
"('C20', 'C1')",16.53
"('C20', 'C2')",12.21
"('C20', 'C3')",18.28
"('C20', 'C4')",9.79
"('C20', 'C5')",20.02
"('C20', 'C6')",15.34
"('C20', 'C7')",7.91
"('C20', 'C8')",26.42
"('C20', 'C9')",9.64
"('C20', 'C10')",4.91
"('C20', 'C11')",15.81
"('C20', 'C12')",4.32
"('C20', 'C13')",19.67
"('C20', 'C14')",4.53
"('C20', 'C15')",12.82
"('C20', 'C16')",19.13
"('C20', 'C17')",18.67
"('C20', 'C18')",16.76
"('C20', 'C19')",23.89
"('C20', 'C20')",0.0
"('C20', 'C21')",10.15
"('C20', 'C22')",16.86
"('C20', 'C23')",13.6
"('C20', 'C24')",9.21
"('C20', 'C25')",21.53
"('C20', 'C26')",15.75
"('C20', 'C27')",17.47
"('C20', 'C28')",16.51
"('C20', 'C29')",9.78
"('C20', 'C30')",13.41
"('C20', 'C31')",19.48
"('C20', 'C32')",14.96
"('C20', 'C33')",24.7
"('C20', 'C34')",12.8
"('C20', 'C35')",8.98
"('C20', 'C36')",22.01
"('C20', 'C37')",14.53
"('C20', 'C38')",11.33
"('C21', 'CD1')",7.28
"('C21', 'CD2')",27.1
"('C21', 'CD3')",16.3
"('C21', 'CD4')",5.64
"('C21', 'CD5')",16.9
"('C21', 'CD6')",13.34
"('C21', 'CD7')",15.2
"('C21', 'CD8')",6.67
"('C21', 'CD9')",4.01
"('C21', 'CD10')",24.79
"('C21', 'CD11')",8.55
"('C21', 'CD12')",20.4
"('C21', 'C1')",10.13
"('C21', 'C2')",14.6
"('C21', 'C3')",17.42
"('C21', 'C4')",12.17
"('C21', 'C5')",22.4
"('C21', 'C6')",17.72
"('C21', 'C7')",6.07
"('C21', 'C8')",30.02
"('C21', 'C9')",2.61
"('C21', 'C10')",9.24
"('C21', 'C11')",9.41
"('C21', 'C12')",11.55
"('C21', 'C13')",12.42
"('C21', 'C14')",9.96
"('C21', 'C15')",16.28
"('C21', 'C16')",18.28
"('C21', 'C17')",17.82
"('C21', 'C18')",17.74
"('C21', 'C19')",16.11
"('C21', 'C20')",11.36
"('C21', 'C21')",0.0
"('C21', 'C22')",20.32
"('C21', 'C23')",17.06
"('C21', 'C24')",12.67
"('C21', 'C25')",24.98
"('C21', 'C26')",9.35
"('C21', 'C27')",20.92
"('C21', 'C28')",15.05
"('C21', 'C29')",0.42
"('C21', 'C30')",14.12
"('C21', 'C31')",21.87
"('C21', 'C32')",8.56
"('C21', 'C33')",16.93
"('C21', 'C34')",16.25
"('C21', 'C35')",14.37
"('C21', 'C36')",22.65
"('C21', 'C37')",17.98
"('C21', 'C38')",7.89
"('C22', 'CD1')",24.75
"('C22', 'CD2')",7.49
"('C22', 'CD3')",30.2
"('C22', 'CD4')",21.17
"('C22', 'CD5')",4.2
"('C22', 'CD6')",10.37
"('C22', 'CD7')",8.0
"('C22', 'CD8')",14.98
"('C22', 'CD9')",23.28
"('C22', 'CD10')",6.03
"('C22', 'CD11')",11.65
"('C22', 'CD12')",1.61
"('C22', 'C1')",15.42
"('C22', 'C2')",28.5
"('C22', 'C3')",6.88
"('C22', 'C4')",26.08
"('C22', 'C5')",36.3
"('C22', 'C6')",31.62
"('C22', 'C7')",21.55
"('C22', 'C8')",9.22
"('C22', 'C9')",22.24
"('C22', 'C10')",13.01
"('C22', 'C11')",15.22
"('C22', 'C12')",15.45
"('C22', 'C13')",11.2
"('C22', 'C14')",14.27
"('C22', 'C15')",5.64
"('C22', 'C16')",5.58
"('C22', 'C17')",10.21
"('C22', 'C18')",2.59
"('C22', 'C19')",10.75
"('C22', 'C20')",18.25
"('C22', 'C21')",19.6
"('C22', 'C22')",0.0
"('C22', 'C23')",6.42
"('C22', 'C24')",8.75
"('C22', 'C25')",8.59
"('C22', 'C26')",12.94
"('C22', 'C27')",5.64
"('C22', 'C28')",7.79
"('C22', 'C29')",19.23
"('C22', 'C30')",7.6
"('C22', 'C31')",35.77
"('C22', 'C32')",13.89
"('C22', 'C33')",12.35
"('C22', 'C34')",5.78
"('C22', 'C35')",11.37
"('C22', 'C36')",3.15
"('C22', 'C37')",4.41
"('C22', 'C38')",12.08
"('C23', 'CD1')",23.3
"('C23', 'CD2')",10.68
"('C23', 'CD3')",24.37
"('C23', 'CD4')",19.72
"('C23', 'CD5')",9.19
"('C23', 'CD6')",8.71
"('C23', 'CD7')",4.44
"('C23', 'CD8')",14.41
"('C23', 'CD9')",21.83
"('C23', 'CD10')",8.37
"('C23', 'CD11')",10.64
"('C23', 'CD12')",6.92
"('C23', 'C1')",13.46
"('C23', 'C2')",22.68
"('C23', 'C3')",11.07
"('C23', 'C4')",20.25
"('C23', 'C5')",30.48
"('C23', 'C6')",25.8
"('C23', 'C7')",20.1
"('C23', 'C8')",15.61
"('C23', 'C9')",20.79
"('C23', 'C10')",9.69
"('C23', 'C11')",13.25
"('C23', 'C12')",10.36
"('C23', 'C13')",12.46
"('C23', 'C14')",10.95
"('C23', 'C15')",2.41
"('C23', 'C16')",9.73
"('C23', 'C17')",11.46
"('C23', 'C18')",6.73
"('C23', 'C19')",14.89
"('C23', 'C20')",13.54
"('C23', 'C21')",19.13
"('C23', 'C22')",6.83
"('C23', 'C23')",0.0
"('C23', 'C24')",5.43
"('C23', 'C25')",8.57
"('C23', 'C26')",10.97
"('C23', 'C27')",4.51
"('C23', 'C28')",9.3
"('C23', 'C29')",18.76
"('C23', 'C30')",6.2
"('C23', 'C31')",29.95
"('C23', 'C32')",11.93
"('C23', 'C33')",16.49
"('C23', 'C34')",2.54
"('C23', 'C35')",5.22
"('C23', 'C36')",11.99
"('C23', 'C37')",3.56
"('C23', 'C38')",11.58
"('C24', 'CD1')",17.03
"('C24', 'CD2')",14.74
"('C24', 'CD3')",19.43
"('C24', 'CD4')",13.46
"('C24', 'CD5')",11.58
"('C24', 'CD6')",8.07
"('C24', 'CD7')",3.88
"('C24', 'CD8')",10.13
"('C24', 'CD9')",15.57
"('C24', 'CD10')",12.42
"('C24', 'CD11')",6.36
"('C24', 'CD12')",10.1
"('C24', 'C1')",12.82
"('C24', 'C2')",17.74
"('C24', 'C3')",10.43
"('C24', 'C4')",15.31
"('C24', 'C5')",25.54
"('C24', 'C6')",20.86
"('C24', 'C7')",13.84
"('C24', 'C8')",19.57
"('C24', 'C9')",14.52
"('C24', 'C10')",4.75
"('C24', 'C11')",12.62
"('C24', 'C12')",7.19
"('C24', 'C13')",11.82
"('C24', 'C14')",6.01
"('C24', 'C15')",5.97
"('C24', 'C16')",11.29
"('C24', 'C17')",10.83
"('C24', 'C18')",9.91
"('C24', 'C19')",16.04
"('C24', 'C20')",8.6
"('C24', 'C21')",12.86
"('C24', 'C22')",10.01
"('C24', 'C23')",6.28
"('C24', 'C24')",0.0
"('C24', 'C25')",12.62
"('C24', 'C26')",10.34
"('C24', 'C27')",8.56
"('C24', 'C28')",8.66
"('C24', 'C29')",12.49
"('C24', 'C30')",5.56
"('C24', 'C31')",25.01
"('C24', 'C32')",11.29
"('C24', 'C33')",16.86
"('C24', 'C34')",5.41
