origen,destino,distancia_km
CD5,C32,9.78
CD5,C33,12.13
CD5,C34,10.8
CD5,C35,12.11
CD5,C36,6.09
CD5,C37,5.98
CD5,C38,9.25
CD5,C39,8.66
CD5,C40,13.19
CD5,C41,17.9
CD5,C42,10.03
CD5,C43,12.89
CD5,C44,11.22
CD5,C45,1.48
CD5,C46,7.07
CD5,C47,24.13
CD5,C48,0.95
CD5,C49,22.11
CD5,C50,11.83
CD5,C51,2.93
CD5,C52,11.55
CD5,C53,10.81
CD5,C54,8.35
CD5,C55,6.86
CD5,C56,3.55
CD6,C23,8.2
CD6,C24,8.24
CD6,C25,16.55
CD6,C26,3.65
CD6,C27,12.49
CD6,C28,3.8
CD6,C29,10.32
CD6,C30,2.87
CD6,C31,27.29
CD6,C32,4.6
CD6,C33,11.19
CD6,C34,7.33
CD6,C35,9.53
CD6,C36,12.41
CD6,C37,9.56
CD6,C38,3.33
CD6,C39,6.09
CD6,C40,7.28
CD6,C41,14.11
CD6,C42,11.87
CD6,C43,10.31
CD6,C44,6.04
CD6,C45,6.57
CD6,C46,13.4
CD6,C47,18.22
CD6,C48,5.83
CD6,C49,16.2
CD6,C50,6.84
CD6,C51,10.09
CD6,C52,15.73
CD6,C53,14.99
CD6,C54,12.79
CD6,C55,2.81
CD6,C56,7.0
CD7,C23,3.36
CD7,C24,4.21
CD7,C25,11.71
CD7,C26,8.13
CD7,C27,7.64
CD7,C28,6.46
CD7,C29,15.91
CD7,C30,3.35
CD7,C31,28.21
CD7,C32,9.09
CD7,C33,14.65
CD7,C34,2.48
CD7,C35,5.5
CD7,C36,12.28
CD7,C37,4.72
CD7,C38,8.73
CD7,C39,2.78
CD7,C40,10.85
CD7,C41,12.17
CD7,C42,15.33
CD7,C43,5.86
CD7,C44,9.05
CD7,C45,8.71
CD7,C46,13.27
CD7,C47,19.14
CD7,C48,7.97
CD7,C49,21.8
CD7,C50,5.67
CD7,C51,9.96
CD7,C52,10.88
CD7,C53,10.14
CD7,C54,7.95
CD7,C55,7.07
CD7,C56,3.29
CD8,C23,12.87
CD8,C24,8.94
CD8,C25,21.22
CD8,C26,7.09
CD8,C27,17.16
CD8,C28,9.05
CD8,C29,9.51
CD8,C30,8.11
CD8,C31,26.48
CD8,C32,6.3
CD8,C33,14.67
CD8,C34,12.0
CD8,C35,11.26
CD8,C36,17.66
CD8,C37,14.23
CD8,C38,4.39
CD8,C39,7.92
CD8,C40,6.47
CD8,C41,13.3
CD8,C42,15.35
CD8,C43,7.51
CD8,C44,2.42
CD8,C45,11.82
CD8,C46,18.64
CD8,C47,17.41
CD8,C48,11.07
CD8,C49,15.39
CD8,C50,5.55
CD8,C51,15.33
CD8,C52,20.4
CD8,C53,19.66
CD8,C54,17.46
CD8,C55,7.04
CD8,C56,12.24
CD9,C23,20.2
CD9,C24,15.81
CD9,C25,28.12
CD9,C26,12.25
CD9,C27,24.06
CD9,C28,18.19
CD9,C29,4.1
CD9,C30,17.26
CD9,C31,15.12
CD9,C32,11.46
CD9,C33,19.83
CD9,C34,19.39
CD9,C35,17.51
CD9,C36,25.79
CD9,C37,21.12
CD9,C38,10.79
CD9,C39,14.9
CD9,C40,9.07
CD9,C41,11.26
CD9,C42,20.51
CD9,C43,14.38
CD9,C44,9.8
CD9,C45,19.95
CD9,C46,26.78
CD9,C47,14.25
CD9,C48,19.21
CD9,C49,2.43
CD9,C50,14.1
CD9,C51,23.47
CD9,C52,27.3
CD9,C53,26.56
CD9,C54,24.36
CD9,C55,13.28
CD9,C56,21.12
CD10,C23,8.38
CD10,C24,12.9
CD10,C25,2.93
CD10,C26,18.44
CD10,C27,4.14
CD10,C28,13.17
CD10,C29,26.22
CD10,C30,13.66
CD10,C31,37.41
CD10,C32,19.39
CD10,C33,17.73
CD10,C34,10.0
CD10,C35,11.45
CD10,C36,7.83
CD10,C37,7.09
CD10,C38,19.04
CD10,C39,14.23
CD10,C40,21.16
CD10,C41,21.37
CD10,C42,17.17
CD10,C43,15.05
CD10,C44,20.12
CD10,C45,8.14
CD10,C46,11.38
CD10,C47,28.34
CD10,C48,11.19
CD10,C49,32.1
CD10,C50,16.26
CD10,C51,10.9
CD10,C52,4.71
CD10,C53,2.69
CD10,C54,4.25
CD10,C55,16.35
CD10,C56,10.19
CD11,C23,11.64
CD11,C24,8.66
CD11,C25,19.99
CD11,C26,6.92
CD11,C27,15.93
CD11,C28,7.14
CD11,C29,8.2
CD11,C30,6.2
CD11,C31,25.17
CD11,C32,6.13
CD11,C33,14.18
CD11,C34,10.77
CD11,C35,14.64
CD11,C36,15.75
CD11,C37,13.0
CD11,C38,3.16
CD11,C39,5.98
CD11,C40,5.16
CD11,C41,11.99
CD11,C42,14.86
CD11,C43,6.73
CD11,C44,2.72
CD11,C45,9.91
CD11,C46,16.73
CD11,C47,16.1
CD11,C48,9.16
CD11,C49,14.09
CD11,C50,4.77
CD11,C51,13.42
CD11,C52,19.16
CD11,C53,18.42
CD11,C54,16.23
CD11,C55,5.8
CD11,C56,10.33
CD12,C23,6.39
CD12,C24,8.72
CD12,C25,7.94
CD12,C26,13.54
CD12,C27,4.09
CD12,C28,8.39
CD12,C29,20.95
CD12,C30,9.25
CD12,C31,33.24
CD12,C32,14.5
CD12,C33,12.96
CD12,C34,5.75
CD12,C35,11.34
CD12,C36,5.5
CD12,C37,3.1
CD12,C38,13.96
CD12,C39,9.97
CD12,C40,15.81
CD12,C41,17.19
CD12,C42,12.39
CD12,C43,10.88
CD12,C44,15.32
CD12,C45,3.37
CD12,C46,9.43
CD12,C47,24.17
CD12,C48,6.41
CD12,C49,26.83
CD12,C50,12.09
CD12,C51,6.12
CD12,C52,8.1
CD12,C53,6.38
CD12,C54,3.97
CD12,C55,11.58
CD12,C56,4.74
C1,C23,12.69
C1,C24,12.73
C1,C25,21.04
C1,C26,2.06
C1,C27,16.98
C1,C28,8.28
C1,C29,10.39
C1,C30,7.35
C1,C31,31.42
C1,C32,2.28
C1,C33,12.07
C1,C34,11.82
C1,C35,14.02
C1,C36,15.85
C1,C37,14.05
C1,C38,5.43
C1,C39,10.57
C1,C40,11.41
C1,C41,18.24
C1,C42,12.75
C1,C43,14.8
C1,C44,5.85
C1,C45,11.05
C1,C46,16.84
C1,C47,22.35
C1,C48,10.46
C1,C49,17.22
C1,C50,12.37
C1,C51,12.92
C1,C52,20.21
C1,C53,19.47
C1,C54,17.28
C1,C55,5.32
C1,C56,11.48
C2,C23,21.9
C2,C24,17.51
C2,C25,29.83
C2,C26,25.17
C2,C27,25.77
C2,C28,24.81
C2,C29,16.37
C2,C30,21.71
C2,C31,14.85
C2,C32,24.38
C2,C33,32.26
C2,C34,21.1
C2,C35,17.65
C2,C36,30.31
C2,C37,22.83
C2,C38,21.23
C2,C39,20.87
C2,C40,18.74
C2,C41,9.93
C2,C42,32.94
C2,C43,16.09
C2,C44,20.48
C2,C45,27.07
C2,C46,31.3
C2,C47,3.16
C2,C48,26.32
C2,C49,14.72
C2,C50,15.81
C2,C51,27.99
C2,C52,29.01
C2,C53,28.27
C2,C54,26.07
C2,C55,23.88
C2,C56,22.83
C3,C23,10.15
C3,C24,10.48
C3,C25,12.51
C3,C26,8.48
C3,C27,8.44
C3,C28,3.33
C3,C29,15.89
C3,C30,7.59
C3,C31,32.85
C3,C32,9.44
C3,C33,8.54
C3,C34,10.46
C3,C35,11.77
C3,C36,7.68
C3,C37,6.11
C3,C38,8.9
C3,C39,8.32
C3,C40,12.85
C3,C41,17.56
C3,C42,7.1
C3,C43,12.54
C3,C44,10.88
C3,C45,3.36
C3,C46,7.7
C3,C47,23.78
C3,C48,1.7
C3,C49,21.77
C3,C50,11.48
C3,C51,4.81
C3,C52,11.68
C3,C53,10.94
C3,C54,8.75
C3,C55,6.52
C3,C56,8.12
C4,C23,19.96
C4,C24,15.57
C4,C25,27.89
C4,C26,19.22
C4,C27,23.83
C4,C28,19.93
C4,C29,10.42
C4,C30,19.0
C4,C31,13.43
C4,C32,18.43
C4,C33,26.3
C4,C34,19.16
C4,C35,16.1
C4,C36,28.37
C4,C37,20.88
C4,C38,15.28
C4,C39,18.8
C4,C40,12.78
C4,C41,7.14
C4,C42,26.98
C4,C43,14.15
C4,C44,14.53
C4,C45,23.66
C4,C46,29.36
C4,C47,1.44
C4,C48,22.92
C4,C49,13.25
C4,C50,13.86
C4,C51,26.05
C4,C52,27.06
C4,C53,26.32
C4,C54,24.13
C4,C55,17.92
C4,C56,20.88
C5,C23,29.09
C5,C24,24.7
C5,C25,37.01
C5,C26,29.66
C5,C27,32.95
C5,C28,30.38
C5,C29,20.87
C5,C30,29.45
C5,C31,2.99
C5,C32,28.88
C5,C33,36.75
C5,C34,28.28
C5,C35,25.23
C5,C36,37.5
C5,C37,30.01
C5,C38,25.73
C5,C39,29.25
C5,C40,23.23
C5,C41,19.52
C5,C42,37.43
C5,C43,23.27
C5,C44,24.97
C5,C45,34.11
C5,C46,38.48
C5,C47,14.39
C5,C48,33.37
C5,C49,14.85
C5,C50,22.99
C5,C51,35.17
C5,C52,36.19
C5,C53,35.45
C5,C54,33.25
C5,C55,28.37
C5,C56,30.01
C6,C23,22.99
C6,C24,18.6
C6,C25,30.91
C6,C26,23.56
C6,C27,26.85
C6,C28,24.28
C6,C29,14.77
C6,C30,23.35
C6,C31,13.39
C6,C32,22.77
C6,C33,30.65
C6,C34,22.18
C6,C35,19.13
C6,C36,31.4
C6,C37,23.91
C6,C38,19.63
C6,C39,23.15
C6,C40,17.13
C6,C41,13.42
C6,C42,31.33
C6,C43,17.17
C6,C44,18.87
C6,C45,28.01
C6,C46,32.38
C6,C47,8.29
C6,C48,27.26
C6,C49,12.62
C6,C50,16.89
C6,C51,29.07
C6,C52,30.09
C6,C53,29.35
C6,C54,27.15
C6,C55,22.27
C6,C56,23.91
C7,C23,19.73
C7,C24,15.34
C7,C25,27.65
C7,C26,15.04
C7,C27,23.59
C7,C28,15.76
C7,C29,6.24
C7,C30,14.82
C7,C31,15.76
C7,C32,14.25
C7,C33,22.12
C7,C34,18.92
C7,C35,13.26
C7,C36,25.32
C7,C37,20.65
C7,C38,11.1
C7,C39,14.63
C7,C40,8.61
C7,C41,7.56
C7,C42,22.81
C7,C43,13.92
C7,C44,10.35
C7,C45,19.49
C7,C46,26.31
C7,C47,6.69
C7,C48,18.74
C7,C49,8.1
C7,C50,13.63
C7,C51,23.0
C7,C52,26.83
C7,C53,26.09
C7,C54,23.9
C7,C55,13.75
C7,C56,18.95
C8,C23,15.42
C8,C24,17.76
C8,C25,12.94
C8,C26,19.49
C8,C27,13.22
C8,C28,14.34
C8,C29,26.9
C8,C30,16.08
C8,C31,43.86
C8,C32,20.45
C8,C33,15.38
C8,C34,14.78
C8,C35,20.37
C8,C36,7.89
C8,C37,12.13
C8,C38,19.91
C8,C39,18.24
C8,C40,22.64
C8,C41,27.09
C8,C42,14.81
C8,C43,19.91
C8,C44,21.89
C8,C45,11.48
C8,C46,9.51
C8,C47,34.79
C8,C48,12.36
C8,C49,32.78
C8,C50,21.51
C8,C51,11.22
C8,C52,14.71
C8,C53,12.69
C8,C54,13.09
C8,C55,17.53
C8,C56,13.36
C9,C23,18.58
C9,C24,14.19
C9,C25,26.51
C9,C26,10.63
C9,C27,22.44
C9,C28,16.57
C9,C29,2.48
C9,C30,15.64
C9,C31,16.42
C9,C32,9.85
C9,C33,18.21
C9,C34,17.78
C9,C35,15.89
C9,C36,24.17
C9,C37,19.5
C9,C38,9.17
C9,C39,13.28
C9,C40,7.46
C9,C41,10.02
C9,C42,18.89
C9,C43,12.77
C9,C44,8.19
C9,C45,18.34
C9,C46,25.16
C9,C47,13.02
C9,C48,17.59
C9,C49,3.47
C9,C50,12.48
C9,C51,21.85
C9,C52,25.68
C9,C53,24.94
C9,C54,22.75
C9,C55,11.66
C9,C56,19.5
C10,C23,11.31
C10,C24,4.66
C10,C25,19.24
C10,C26,14.58
C10,C27,15.18
C10,C28,14.22
C10,C29,8.61
C10,C30,11.12
C10,C31,20.93
C10,C32,13.79
C10,C33,22.41
C10,C34,10.51
C10,C35,5.67
C10,C36,19.72
C10,C37,12.24
C10,C38,8.91
C10,C39,6.65
C10,C40,4.07
C10,C41,4.89
C10,C42,23.1
C10,C43,3.76
C10,C44,8.16
C10,C45,16.48
C10,C46,20.71
C10,C47,11.86
C10,C48,15.73
C10,C49,14.49
C10,C50,3.84
C10,C51,17.4
C10,C52,18.42
C10,C53,17.68
C10,C54,15.48
C10,C55,14.84
C10,C56,12.23
C11,C23,13.67
C11,C24,13.72
C11,C25,22.02
C11,C26,3.04
C11,C27,17.96
C11,C28,9.26
C11,C29,10.15
C11,C30,8.34
C11,C31,31.18
C11,C32,2.04
C11,C33,13.05
C11,C34,12.8
C11,C35,15.0
C11,C36,16.84
C11,C37,15.03
C11,C38,5.2
C11,C39,10.7
C11,C40,11.17
C11,C41,18.0
C11,C42,13.73
C11,C43,13.4
C11,C44,5.61
C11,C45,12.03
C11,C46,17.82
C11,C47,22.11
C11,C48,11.44
C11,C49,16.98
C11,C50,12.13
C11,C51,13.91
C11,C52,21.2
C11,C53,20.46
C11,C54,18.26
C11,C55,6.31
C11,C56,12.47
C12,C23,11.25
C12,C24,7.38
C12,C25,17.28
C12,C26,17.15
C12,C27,13.22
C12,C28,15.43
C12,C29,11.19
C12,C30,12.33
C12,C31,21.7
C12,C32,16.37
C12,C33,23.63
C12,C34,10.7
C12,C35,6.7
C12,C36,20.93
C12,C37,12.93
C12,C38,14.04
C12,C39,9.27
C12,C40,7.32
C12,C41,2.63
C12,C42,24.31
C12,C43,6.38
C12,C44,12.26
C12,C45,17.69
C12,C46,21.92
C12,C47,12.63
C12,C48,16.94
C12,C49,17.07
C12,C50,6.71
C12,C51,18.61
C12,C52,16.45
C12,C53,15.71
C12,C54,13.52
C12,C55,16.05
C12,C56,13.45
C13,C23,12.54
C13,C24,12.9
C13,C25,20.47
C13,C26,5.97
C13,C27,16.41
C13,C28,5.99
C13,C29,12.59
C13,C30,7.53
C13,C31,33.18
C13,C32,6.6
C13,C33,5.02
C13,C34,11.99
C13,C35,14.19
C13,C36,9.21
C13,C37,13.47
C13,C38,7.62
C13,C39,10.74
C13,C40,13.17
C13,C41,19.47
C13,C42,5.71
C13,C43,14.97
C13,C44,8.05
C13,C45,10.05
C13,C46,9.17
C13,C47,24.11
C13,C48,7.89
C13,C49,22.1
C13,C50,13.91
C13,C51,6.89
C13,C52,19.65
C13,C53,18.91
C13,C54,16.71
C13,C55,3.93
C13,C56,10.51
C14,C23,10.19
C14,C24,5.83
C14,C25,16.22
C14,C26,15.42
C14,C27,12.16
C14,C28,13.88
C14,C29,9.45
C14,C30,10.78
C14,C31,21.23
C14,C32,14.63
C14,C33,22.07
C14,C34,10.17
C14,C35,5.64
C14,C36,19.38
C14,C37,11.89
C14,C38,12.3
C14,C39,8.14
C14,C40,5.84
C14,C41,5.19
C14,C42,22.75
C14,C43,5.25
C14,C44,11.55
C14,C45,16.13
C14,C46,20.36
C14,C47,12.16
C14,C48,15.39
C14,C49,15.33
C14,C50,5.24
C14,C51,17.06
C14,C52,15.4
C14,C53,14.66
C14,C54,12.46
C14,C55,14.49
C14,C56,11.89
C15,C23,3.1
C15,C24,3.11
C15,C25,11.45
C15,C26,9.68
C15,C27,7.39
C15,C28,8.01
C15,C29,15.11
C15,C30,4.9
C15,C31,27.62
C15,C32,10.64
C15,C33,16.2
C15,C34,2.23
C15,C35,5.72
C15,C36,12.89
C15,C37,4.46
C15,C38,10.28
C15,C39,4.58
C15,C40,9.89
C15,C41,11.58
C15,C42,16.83
C15,C43,5.26
C15,C44,10.82
C15,C45,9.09
C15,C46,13.87
C15,C47,18.55
C15,C48,9.52
C15,C49,20.99
C15,C50,6.47
C15,C51,10.56
C15,C52,10.62
C15,C53,9.88
C15,C54,7.69
C15,C55,8.62
C15,C56,5.29
C16,C23,9.94
C16,C24,10.27
C16,C25,12.96
C16,C26,8.27
C16,C27,8.9
C16,C28,3.12
C16,C29,15.67
C16,C30,7.38
C16,C31,32.64
C16,C32,9.23
C16,C33,11.57
C16,C34,10.25
C16,C35,11.55
C16,C36,6.27
C16,C37,6.57
C16,C38,8.69
C16,C39,8.11
C16,C40,12.63
C16,C41,17.35
C16,C42,10.2
C16,C43,12.33
C16,C44,10.67
C16,C45,2.48
C16,C46,7.25
C16,C47,23.57
C16,C48,1.14
C16,C49,21.56
C16,C50,11.27
C16,C51,3.08
C16,C52,12.14
C16,C53,11.4
C16,C54,8.94
C16,C55,6.31
C16,C56,4.55
C17,C23,11.45
C17,C24,11.78
C17,C25,19.37
C17,C26,5.0
C17,C27,15.31
C17,C28,4.9
C17,C29,11.62
C17,C30,7.84
C17,C31,34.42
C17,C32,5.64
C17,C33,7.22
C17,C34,11.75
C17,C35,13.06
C17,C36,10.66
C17,C37,12.37
C17,C38,6.65
C17,C39,9.62
C17,C40,14.4
C17,C41,18.86
C17,C42,7.9
C17,C43,13.84
C17,C44,7.08
C17,C45,8.95
C17,C46,11.24
C17,C47,25.35
C17,C48,6.8
C17,C49,23.34
C17,C50,12.78
C17,C51,8.35
C17,C52,18.55
C17,C53,17.81
C17,C54,15.62
C17,C55,3.43
C17,C56,9.42
C18,C23,6.62
C18,C24,8.95
C18,C25,10.8
C18,C26,10.5
C18,C27,6.74
C18,C28,5.35
C18,C29,17.9
C18,C30,6.21
C18,C31,34.38
C18,C32,11.46
C18,C33,9.92
C18,C34,5.98
C18,C35,11.82
C18,C36,5.41
C18,C37,4.41
C18,C38,10.92
C18,C39,8.38
C18,C40,12.77
C18,C41,17.22
C18,C42,9.35
C18,C43,11.11
C18,C44,12.27
C18,C45,1.61
C18,C46,6.39
C18,C47,25.31
C18,C48,3.37
C18,C49,23.79
C18,C50,11.64
C18,C51,3.08
C18,C52,9.98
C18,C53,9.24
C18,C54,6.78
C18,C55,8.53
C18,C56,4.07
C19,C23,14.16
C19,C24,14.49
C19,C25,17.73
C19,C26,8.82
C19,C27,14.61
C19,C28,7.61
C19,C29,20.17
C19,C30,10.56
C19,C31,37.14
C19,C32,9.45
C19,C33,2.49
C19,C34,14.47
C19,C35,15.78
C19,C36,7.92
C19,C37,12.27
C19,C38,10.47
C19,C39,12.33
C19,C40,17.12
C19,C41,21.57
C19,C42,1.92
C19,C43,16.55
C19,C44,10.9
C19,C45,9.55
C19,C46,5.2
C19,C47,28.07
C19,C48,7.17
C19,C49,26.05
C19,C50,15.49
C19,C51,6.23
C19,C52,17.85
C19,C53,17.11
C19,C54,14.64
C19,C55,7.24
C19,C56,12.13
C20,C23,13.6
C20,C24,9.21
C20,C25,21.53
C20,C26,15.75
C20,C27,17.47
C20,C28,16.51
C20,C29,9.78
C20,C30,13.41
C20,C31,19.48
C20,C32,14.96
C20,C33,24.7
C20,C34,12.8
C20,C35,8.98
C20,C36,22.01
C20,C37,14.53
C20,C38,11.33
C20,C39,12.57
C20,C40,5.51
C20,C41,1.61
C20,C42,25.38
C20,C43,7.79
C20,C44,10.58
C20,C45,18.76
C20,C46,23.0
C20,C47,10.41
C20,C48,18.02
C20,C49,15.66
C20,C50,7.51
C20,C51,19.69
C20,C52,20.71
C20,C53,19.97
C20,C54,17.77
C20,C55,17.12
C20,C56,14.52
C21,C23,17.06
C21,C24,12.67
C21,C25,24.98
C21,C26,9.35
C21,C27,20.92
C21,C28,15.05
C21,C29,0.42
C21,C30,14.12
C21,C31,21.87
C21,C32,8.56
C21,C33,16.93
C21,C34,16.25
C21,C35,14.37
C21,C36,22.65
C21,C37,17.98
C21,C38,7.89
C21,C39,12.0
C21,C40,5.93
C21,C41,11.72
C21,C42,17.61
C21,C43,11.25
C21,C44,5.98
C21,C45,16.82
C21,C46,23.64
C21,C47,12.8
C21,C48,16.07
C21,C49,8.09
C21,C50,10.96
C21,C51,20.33
C21,C52,24.16
C21,C53,23.42
C21,C54,21.22
C21,C55,10.38
C21,C56,17.98
C22,C23,6.42
C22,C24,8.75
C22,C25,8.59
C22,C26,12.94
C22,C27,5.64
C22,C28,7.79
C22,C29,19.23
C22,C30,7.6
C22,C31,35.77
C22,C32,13.89
C22,C33,12.35
C22,C34,5.78
C22,C35,11.37
C22,C36,3.15
C22,C37,4.41
C22,C38,12.08
C22,C39,9.77
C22,C40,14.16
C22,C41,18.62
C22,C42,11.79
C22,C43,10.91
C22,C44,13.67
C22,C45,3.01
C22,C46,8.83
C22,C47,26.7
C22,C48,4.4
C22,C49,25.11
C22,C50,13.03
C22,C51,5.52
C22,C52,9.65
C22,C53,7.93
C22,C54,5.52
C22,C55,10.97
C22,C56,4.13
C23,CD1,23.3
C23,CD2,10.68
C23,CD3,24.37
C23,CD4,19.72
C23,CD5,9.19
C23,CD6,8.71
C23,CD7,4.44
C23,CD8,14.41
C23,CD9,21.83
C23,CD10,8.37
C23,CD11,10.64
C23,CD12,6.92
C23,C1,13.46
C23,C2,22.68
C23,C3,11.07
C23,C4,20.25
C23,C5,30.48
C23,C6,25.8
C23,C7,20.1
C23,C8,15.61
C23,C9,20.79
C23,C10,9.69
C23,C11,13.25
C23,C12,10.36
C23,C13,12.46
C23,C14,10.95
C23,C15,2.41
C23,C16,9.73
C23,C17,11.46
C23,C18,6.73
C23,C19,14.89
C23,C20,13.54
C23,C21,19.13
C23,C22,6.83
C24,CD1,17.03
C24,CD2,14.74
C24,CD3,19.43
C24,CD4,13.46
C24,CD5,11.58
C24,CD6,8.07
C24,CD7,3.88
C24,CD8,10.13
C24,CD9,15.57
C24,CD10,12.42
C24,CD11,6.36
C24,CD12,10.1
C24,C1,12.82
C24,C2,17.74
C24,C3,10.43
C24,C4,15.31
C24,C5,25.54
C24,C6,20.86
C24,C7,13.84
C24,C8,19.57
C24,C9,14.52
C24,C10,4.75
C24,C11,12.62
C24,C12,7.19
C24,C13,11.82
C24,C14,6.01
C24,C15,5.97
C24,C16,11.29
C24,C17,10.83
C24,C18,9.91
C24,C19,16.04
C24,C20,8.6
C24,C21,12.86
C24,C22,10.01
C25,CD1,31.11
C25,CD2,4.72
C25,CD3,32.18
C25,CD4,27.53
C25,CD5,12.93
C25,CD6,16.52
C25,CD7,12.25
C25,CD8,22.22
C25,CD9,29.64
C25,CD10,2.94
C25,CD11,18.45
C25,CD12,7.64
C25,C1,21.27
C25,C2,30.49
C25,C3,14.77
C25,C4,28.06
C25,C5,38.29
C25,C6,33.61
C25,C7,27.92
C25,C8,15.98
C25,C9,28.6
C25,C10,17.5
C25,C11,21.06
C25,C12,16.93
C25,C13,20.27
C25,C14,15.73
C25,C15,10.22
C25,C16,13.47
C25,C17,19.27
C25,C18,10.48
C25,C19,18.63
C25,C20,21.35
C25,C21,26.94
C25,C22,8.59
C26,CD1,17.9
C26,CD2,21.03
C26,CD3,24.89
C26,CD4,14.32
C26,CD5,8.34
C26,CD6,3.82
C26,CD7,8.32
C26,CD8,6.94
C26,CD9,16.44
C26,CD10,18.72
C26,CD11,7.68
C26,CD12,12.85
C26,C1,2.6
C26,C2,23.19
C26,C3,7.19
C26,C4,20.77
C26,C5,31.0
C26,C6,26.32
C26,C7,14.71
C26,C8,18.71
C26,C9,10.78
C26,C10,14.8
C26,C11,3.04
C26,C12,17.11
C26,C13,5.44
C26,C14,15.53
C26,C15,10.33
C26,C16,8.05
C26,C17,6.3
C26,C18,9.85
C26,C19,9.13
C26,C20,16.92
C26,C21,10.75
C26,C22,11.52
C27,CD1,27.37
C27,CD2,6.67
C27,CD3,28.45
C27,CD4,23.79
C27,CD5,8.35
C27,CD6,12.78
C27,CD7,8.51
C27,CD8,18.48
C27,CD9,25.91
C27,CD10,4.36
C27,CD11,14.71
C27,CD12,3.82
C27,C1,17.53
C27,C2,26.75
C27,C3,10.19
C27,C4,24.33
C27,C5,34.55
C27,C6,29.88
C27,C7,24.18
C27,C8,12.68
C27,C9,24.86
C27,C10,13.76
C27,C11,17.33
C27,C12,13.19
C27,C13,14.51
C27,C14,11.99
C27,C15,6.49
C27,C16,8.89
C27,C17,13.51
C27,C18,5.9
C27,C19,14.05
C27,C20,17.61
C27,C21,23.2
C27,C22,5.35
C28,CD1,17.37
C28,CD2,18.63
C28,CD3,24.36
C28,CD4,13.79
C28,CD5,4.26
C28,CD6,2.99
C28,CD7,7.76
C28,CD8,8.02
C28,CD9,15.9
C28,CD10,13.48
C28,CD11,7.85
C28,CD12,8.79
C28,C1,8.04
C28,C2,22.66
C28,C3,3.11
C28,C4,20.24
C28,C5,30.46
C28,C6,25.79
C28,C7,14.18
C28,C8,14.64
C28,C9,14.86
C28,C10,15.25
C28,C11,7.84
C28,C12,17.56
C28,C13,4.76
C28,C14,15.97
C28,C15,9.76
C28,C16,3.97
C28,C17,3.76
C28,C18,7.62
C28,C19,8.97
C28,C20,16.26
C28,C21,13.34
C28,C22,8.18
C29,CD1,7.36
C29,CD2,27.27
C29,CD3,16.38
C29,CD4,5.72
C29,CD5,17.08
C29,CD6,13.51
C29,CD7,15.38
C29,CD8,6.76
C29,CD9,4.09
C29,CD10,24.96
C29,CD11,8.73
C29,CD12,20.57
C29,C1,10.21
C29,C2,14.68
C29,C3,17.59
C29,C4,12.26
C29,C5,22.48
C29,C6,17.81
C29,C7,6.15
C29,C8,30.19
C29,C9,2.69
C29,C10,9.41
C29,C11,9.49
C29,C12,11.72
C29,C13,12.5
C29,C14,10.13
C29,C15,16.45
C29,C16,18.45
C29,C17,17.99
C29,C18,17.91
C29,C19,16.19
C29,C20,11.53
C29,C21,1.02
C29,C22,20.49
C30,CD1,17.08
C30,CD2,16.46
C30,CD3,23.5
C30,CD4,13.5
C30,CD5,7.39
C30,CD6,3.18
C30,CD7,3.75
C30,CD8,8.29
C30,CD9,15.61
C30,CD10,14.15
C30,CD11,4.96
C30,CD12,9.44
C30,C1,7.93
C30,C2,21.81
C30,C3,6.23
C30,C4,19.38
C30,C5,29.61
C30,C6,24.93
C30,C7,13.88
C30,C8,18.71
C30,C9,14.57
C30,C10,10.55
C30,C11,7.73
C30,C12,12.86
C30,C13,7.63
C30,C14,11.27
C30,C15,5.75
C30,C16,7.09
C30,C17,6.63
C30,C18,6.44
C30,C19,11.84
C30,C20,11.56
C30,C21,12.91
C30,C22,8.1
C31,CD1,13.62
C31,CD2,38.6
C31,CD3,7.52
C31,CD4,15.48
C31,CD5,31.82
C31,CD6,27.91
C31,CD7,26.7
C31,CD8,24.58
C31,CD9,15.4
C31,CD10,36.29
C31,CD11,24.49
C31,CD12,31.9
C31,C1,29.91
C31,C2,14.73
C31,C3,30.66
C31,C4,13.51
C31,C5,2.99
C31,C6,6.76
C31,C7,14.49
C31,C8,41.38
C31,C9,20.45
C31,C10,19.57
C31,C11,29.19
C31,C12,21.02
C31,C13,31.71
C31,C14,20.29
C31,C15,27.78
C31,C16,31.52
C31,C17,34.13
C31,C18,31.71
C31,C19,35.4
C31,C20,18.63
C31,C21,23.53
C31,C22,31.81
C32,CD1,17.09
C32,CD2,22.57
C32,CD3,24.08
C32,CD4,13.51
C32,CD5,9.89
C32,CD6,5.36
C32,CD7,9.87
C32,CD8,6.13
C32,CD9,15.63
C32,CD10,20.26
C32,CD11,6.87
C32,CD12,14.4
C32,C1,2.25
C32,C2,22.38
C32,C3,8.73
C32,C4,19.96
C32,C5,30.18
C32,C6,25.51
C32,C7,13.9
C32,C8,20.26
C32,C9,9.97
C32,C10,13.99
C32,C11,1.53
C32,C12,16.3
C32,C13,6.78
C32,C14,14.71
C32,C15,11.87
C32,C16,9.59
C32,C17,7.64
C32,C18,11.4
C32,C19,10.47
C32,C20,16.11
C32,C21,9.94
C32,C22,13.06
C33,CD1,26.79
C33,CD2,21.08
C33,CD3,33.78
C33,CD4,23.21
C33,CD5,9.03
C33,CD6,12.41
C33,CD7,14.42
C33,CD8,14.94
