,Cost
"('C5', 'C12')",65341.755
"('C5', 'C13')",97754.904
"('C5', 'C14')",63128.322
"('C5', 'C15')",85838.751
"('C5', 'C16')",97178.805
"('C5', 'C17')",105092.586
"('C5', 'C18')",97754.904
"('C5', 'C19')",108943.353
"('C5', 'C20')",58095.036
"('C5', 'C21')",72982.647
"('C5', 'C22')",98088.435
"('C5', 'C23')",88203.789
"('C5', 'C24')",74892.87
"('C5', 'C25')",112218.021
"('C5', 'C26')",89932.086
"('C5', 'C27')",99907.695
"('C5', 'C28')",92115.198
"('C5', 'C29')",63279.927
"('C5', 'C30')",89295.345
"('C5', 'C31')",9065.979
"('C5', 'C32')",87567.048
"('C5', 'C33')",111429.675
"('C5', 'C34')",85747.788
"('C5', 'C35')",76499.883
"('C5', 'C36')",113703.75
"('C5', 'C37')",90993.321
"('C5', 'C38')",78015.933
"('C6', 'CD1')",24408.405
"('C6', 'CD2')",100150.263
"('C6', 'CD3')",23680.701
"('C6', 'CD4')",30048.111
"('C6', 'CD5')",79592.625
"('C6', 'CD6')",67737.114
"('C6', 'CD7')",64068.273
"('C6', 'CD8')",57640.221
"('C6', 'CD9')",35718.138
"('C6', 'CD10')",93146.112
"('C6', 'CD11')",57367.332
"('C6', 'CD12')",79835.193
"('C6', 'C1')",73801.314
"('C6', 'C2')",27774.036
"('C6', 'C3')",76075.389
"('C6', 'C4')",24074.874
"('C6', 'C5')",42206.832
"('C6', 'C6')",9999999.0
"('C6', 'C7')",27046.332
"('C6', 'C8')",108579.501
"('C6', 'C9')",45117.648
"('C6', 'C10')",42449.4
"('C6', 'C11')",71618.202
"('C6', 'C12')",46845.945
"('C6', 'C13')",79259.094
"('C6', 'C14')",44632.512
"('C6', 'C15')",67342.941
"('C6', 'C16')",78682.995
"('C6', 'C17')",86596.776
"('C6', 'C18')",79259.094
"('C6', 'C19')",90447.543
"('C6', 'C20')",39599.226
"('C6', 'C21')",54456.516
"('C6', 'C22')",79592.625
"('C6', 'C23')",69707.979
"('C6', 'C24')",56397.06
"('C6', 'C25')",93722.211
"('C6', 'C26')",71436.276
"('C6', 'C27')",81411.885
"('C6', 'C28')",73619.388
"('C6', 'C29')",44784.117
"('C6', 'C30')",70799.535
"('C6', 'C31')",40599.819
"('C6', 'C32')",69040.917
"('C6', 'C33')",92933.865
"('C6', 'C34')",67251.978
"('C6', 'C35')",58004.073
"('C6', 'C36')",95207.94
"('C6', 'C37')",72497.511
"('C6', 'C38')",59520.123
"('C7', 'CD1')",17707.464
"('C7', 'CD2')",90265.617
"('C7', 'CD3')",30897.099
"('C7', 'CD4')",5912.595
"('C7', 'CD5')",53728.812
"('C7', 'CD6')",41873.301
"('C7', 'CD7')",54183.627
"('C7', 'CD8')",31806.729
"('C7', 'CD9')",22437.54
"('C7', 'CD10')",83261.466
"('C7', 'CD11')",31533.84
"('C7', 'CD12')",69950.547
"('C7', 'C1')",47967.822
"('C7', 'C2')",25742.529
"('C7', 'C3')",50241.897
"('C7', 'C4')",18404.847
"('C7', 'C5')",49392.909
"('C7', 'C6')",35233.002
"('C7', 'C7')",9999999.0
"('C7', 'C8')",85171.689
"('C7', 'C9')",19284.156
"('C7', 'C10')",24650.973
"('C7', 'C11')",45754.389
"('C7', 'C12')",29077.839
"('C7', 'C13')",53425.602
"('C7', 'C14')",26864.406
"('C7', 'C15')",57458.295
"('C7', 'C16')",52849.503
"('C7', 'C17')",60763.284
"('C7', 'C18')",61885.161
"('C7', 'C19')",64614.051
"('C7', 'C20')",21800.799
"('C7', 'C21')",28623.024
"('C7', 'C22')",69707.979
"('C7', 'C23')",59823.333
"('C7', 'C24')",46512.414
"('C7', 'C25')",83837.565
"('C7', 'C26')",45602.784
"('C7', 'C27')",71527.239
"('C7', 'C28')",47785.896
"('C7', 'C29')",18920.304
"('C7', 'C30')",44935.722
"('C7', 'C31')",47785.896
"('C7', 'C32')",43207.425
"('C7', 'C33')",67070.052
"('C7', 'C34')",57367.332
"('C7', 'C35')",40205.646
"('C7', 'C36')",76772.772
"('C7', 'C37')",62612.865
"('C7', 'C38')",33656.31
"('C8', 'CD1')",94904.73
"('C8', 'CD2')",36597.447
"('C8', 'CD3')",116099.109
"('C8', 'CD4')",84049.812
"('C8', 'CD5')",35172.36
"('C8', 'CD6')",51303.132
"('C8', 'CD7')",54941.652
"('C8', 'CD8')",66554.595
"('C8', 'CD9')",90477.864
"('C8', 'CD10')",31473.198
"('C8', 'CD11')",61036.173
"('C8', 'CD12')",27895.32
"('C8', 'C1')",66645.558
"('C8', 'C2')",110944.539
"('C8', 'C3')",40751.424
"('C8', 'C4')",103606.857
"('C8', 'C5')",134625.24
"('C8', 'C6')",120435.012
"('C8', 'C7')",85232.331
"('C8', 'C8')",9999999.0
"('C8', 'C9')",87294.159
"('C8', 'C10')",66736.521
"('C8', 'C11')",66008.817
"('C8', 'C12')",84989.763
"('C8', 'C13')",50090.292
"('C8', 'C14')",70556.967
"('C8', 'C15')",44420.265
"('C8', 'C16')",36809.694
"('C8', 'C17')",50817.996
"('C8', 'C18')",32504.112
"('C8', 'C19')",41752.017
"('C8', 'C20')",81017.712
"('C8', 'C21')",82685.367
"('C8', 'C22')",28653.345
"('C8', 'C23')",46754.982
"('C8', 'C24')",53850.096
"('C8', 'C25')",39235.374
"('C8', 'C26')",59095.629
"('C8', 'C27')",40084.362
"('C8', 'C28')",43480.314
"('C8', 'C29')",81563.49
"('C8', 'C30')",48756.168
"('C8', 'C31')",132987.906
"('C8', 'C32')",62006.445
"('C8', 'C33')",46633.698
"('C8', 'C34')",44814.438
"('C8', 'C35')",61763.877
"('C8', 'C36')",23923.269
"('C8', 'C37')",36779.373
"('C8', 'C38')",60369.111
"('C9', 'CD1')",16009.488
"('C9', 'CD2')",86778.702
"('C9', 'CD3')",50059.971
"('C9', 'CD4')",17768.106
"('C9', 'CD5')",55851.282
"('C9', 'CD6')",45057.006
"('C9', 'CD7')",50696.712
"('C9', 'CD8')",24135.516
"('C9', 'CD9')",5427.459
"('C9', 'CD10')",79774.551
"('C9', 'CD11')",30563.568
"('C9', 'CD12')",66463.632
"('C9', 'C1')",34596.261
"('C9', 'C2')",44935.722
"('C9', 'C3')",57427.974
"('C9', 'C4')",37567.719
"('C9', 'C5')",47270.439
"('C9', 'C6')",54395.874
"('C9', 'C7')",19041.588
"('C9', 'C8')",95632.434
"('C9', 'C9')",9999999.0
"('C9', 'C10')",32625.396
"('C9', 'C11')",32413.149
"('C9', 'C12')",39629.547
"('C9', 'C13')",41539.77
"('C9', 'C14')",34808.508
"('C9', 'C15')",53971.38
"('C9', 'C16')",60035.58
"('C9', 'C17')",58640.814
"('C9', 'C18')",58398.246
"('C9', 'C19')",52728.219
"('C9', 'C20')",29290.086
"('C9', 'C21')",10248.498
"('C9', 'C22')",66221.064
"('C9', 'C23')",56336.418
"('C9', 'C24')",43025.499
"('C9', 'C25')",80380.971
"('C9', 'C26')",32231.223
"('C9', 'C27')",68040.324
"('C9', 'C28')",50241.897
"('C9', 'C29')",7519.608
"('C9', 'C30')",47422.044
"('C9', 'C31')",49787.082
"('C9', 'C32')",29866.185
"('C9', 'C33')",55214.541
"('C9', 'C34')",53910.738
"('C9', 'C35')",48180.069
"('C9', 'C36')",73285.857
"('C9', 'C37')",59125.95
"('C9', 'C38')",27804.357
"('C10', 'CD1')",39872.115
"('C10', 'CD2')",64735.335
"('C10', 'CD3')",46573.056
"('C10', 'CD4')",29017.197
"('C10', 'CD5')",51970.194
"('C10', 'CD6')",31533.84
"('C10', 'CD7')",28683.666
"('C10', 'CD8')",25166.43
"('C10', 'CD9')",35414.928
"('C10', 'CD10')",57731.184
"('C10', 'CD11')",24832.899
"('C10', 'CD12')",44450.586
"('C10', 'C1')",46573.056
"('C10', 'C2')",41418.486
"('C10', 'C3')",48483.279
"('C10', 'C4')",34080.804
"('C10', 'C5')",65068.866
"('C10', 'C6')",50908.959
"('C10', 'C7')",30169.395
"('C10', 'C8')",73164.573
"('C10', 'C9')",32261.544
"('C10', 'C10')",9999999.0
"('C10', 'C11')",44359.623
"('C10', 'C12')",10278.819
"('C10', 'C13')",52697.898
"('C10', 'C14')",3820.446
"('C10', 'C15')",31928.013
"('C10', 'C16')",51060.564
"('C10', 'C17')",49665.798
"('C10', 'C18')",43874.487
"('C10', 'C19')",65493.36
"('C10', 'C20')",13735.413
"('C10', 'C21')",27228.258
"('C10', 'C22')",44177.697
"('C10', 'C23')",34293.051
"('C10', 'C24')",14129.586
"('C10', 'C25')",58337.604
"('C10', 'C26')",44208.018
"('C10', 'C27')",46027.278
"('C10', 'C28')",43116.462
"('C10', 'C29')",26106.381
"('C10', 'C30')",33716.952
"('C10', 'C31')",63461.853
"('C10', 'C32')",41812.659
"('C10', 'C33')",67949.361
"('C10', 'C34')",31867.371
"('C10', 'C35')",17192.007
"('C10', 'C36')",59793.012
"('C10', 'C37')",37112.904
"('C10', 'C38')",27016.011
"('C11', 'CD1')",56457.702
"('C11', 'CD2')",73194.894
"('C11', 'CD3')",77652.081
"('C11', 'CD4')",45602.784
"('C11', 'CD5')",34717.545
"('C11', 'CD6')",20982.132
"('C11', 'CD7')",34656.903
"('C11', 'CD8')",23225.886
"('C11', 'CD9')",52000.515
"('C11', 'CD10')",66160.422
"('C11', 'CD11')",25469.64
"('C11', 'CD12')",48392.316
"('C11', 'C1')",3153.384
"('C11', 'C2')",72497.511
"('C11', 'C3')",31200.309
"('C11', 'C4')",65159.829
"('C11', 'C5')",96147.891
"('C11', 'C6')",81987.984
"('C11', 'C7')",46785.303
"('C11', 'C8')",66160.422
"('C11', 'C9')",34869.15
"('C11', 'C10')",47058.192
"('C11', 'C11')",9999999.0
"('C11', 'C12')",54062.343
"('C11', 'C13')",25894.134
"('C11', 'C14')",49241.304
"('C11', 'C15')",40721.103
"('C11', 'C16')",33807.915
"('C11', 'C17')",28532.061
"('C11', 'C18')",39296.016
"('C11', 'C19')",37082.583
"('C11', 'C20')",53486.244
"('C11', 'C21')",34778.187
"('C11', 'C22')",44329.302
"('C11', 'C23')",41448.807
"('C11', 'C24')",41600.412
"('C11', 'C25')",66766.842
"('C11', 'C26')",9217.584
"('C11', 'C27')",54456.516
"('C11', 'C28')",28077.246
"('C11', 'C29')",30775.815
"('C11', 'C30')",25287.714
"('C11', 'C31')",94540.878
"('C11', 'C32')",6185.484
"('C11', 'C33')",39568.905
"('C11', 'C34')",38810.88
"('C11', 'C35')",45481.5
"('C11', 'C36')",51060.564
"('C11', 'C37')",45572.463
"('C11', 'C38')",15766.92
"('C12', 'CD1')",51394.095
"('C12', 'CD2')",58792.419
"('C12', 'CD3')",48907.773
"('C12', 'CD4')",29623.617
"('C12', 'CD5')",55639.035
"('C12', 'CD6')",44996.364
"('C12', 'CD7')",32352.507
"('C12', 'CD8')",37598.04
"('C12', 'CD9')",43237.746
"('C12', 'CD10')",51788.268
"('C12', 'CD11')",35081.397
"('C12', 'CD12')",48119.427
"('C12', 'C1')",54365.553
"('C12', 'C2')",31230.63
"('C12', 'C3')",52152.12
"('C12', 'C4')",36415.521
"('C12', 'C5')",67403.583
"('C12', 'C6')",53213.355
"('C12', 'C7')",30684.852
"('C12', 'C8')",76833.414
"('C12', 'C9')",40084.362
"('C12', 'C10')",10642.671
"('C12', 'C11')",52182.441
"('C12', 'C12')",9999999.0
"('C12', 'C13')",56366.739
"('C12', 'C14')",9460.152
"('C12', 'C15')",35596.854
"('C12', 'C16')",54729.405
"('C12', 'C17')",53334.639
"('C12', 'C18')",47543.328
"('C12', 'C19')",69162.201
"('C12', 'C20')",10551.708
"('C12', 'C21')",35051.076
"('C12', 'C22')",47846.538
"('C12', 'C23')",34111.125
"('C12', 'C24')",22376.898
"('C12', 'C25')",52394.688
"('C12', 'C26')",52000.515
"('C12', 'C27')",40084.362
"('C12', 'C28')",46785.303
"('C12', 'C29')",33929.199
"('C12', 'C30')",37385.793
"('C12', 'C31')",65796.57
"('C12', 'C32')",49635.477
"('C12', 'C33')",71648.523
"('C12', 'C34')",32443.47
"('C12', 'C35')",20315.07
"('C12', 'C36')",63461.853
"('C12', 'C37')",39205.053
"('C12', 'C38')",42570.684
"('C13', 'CD1')",62521.902
"('C13', 'CD2')",63249.606
"('C13', 'CD3')",83716.281
"('C13', 'CD4')",51666.984
"('C13', 'CD5')",23923.269
"('C13', 'CD6')",18920.304
"('C13', 'CD7')",32200.902
"('C13', 'CD8')",30624.21
"('C13', 'CD9')",58064.715
"('C13', 'CD10')",49878.045
"('C13', 'CD11')",32473.791
"('C13', 'CD12')",42358.437
"('C13', 'C1')",25621.245
"('C13', 'C2')",78561.711
"('C13', 'C3')",16221.735
"('C13', 'C4')",71224.029
"('C13', 'C5')",102212.091
"('C13', 'C6')",88052.184
"('C13', 'C7')",52819.182
"('C13', 'C8')",50241.897
"('C13', 'C9')",54911.331
"('C13', 'C10')",54881.01
"('C13', 'C11')",24044.553
"('C13', 'C12')",61885.161
"('C13', 'C13')",9999999.0
"('C13', 'C14')",57064.122
"('C13', 'C15')",35657.496
"('C13', 'C16')",23043.96
"('C13', 'C17')",10096.893
"('C13', 'C18')",33262.137
"('C13', 'C19')",12765.141
"('C13', 'C20')",57943.431
"('C13', 'C21')",50272.218
"('C13', 'C22')",34414.335
"('C13', 'C23')",38022.534
"('C13', 'C24')",39114.09
"('C13', 'C25')",62067.087
"('C13', 'C26')",18101.637
"('C13', 'C27')",49756.761
"('C13', 'C28')",18162.279
"('C13', 'C29')",38174.139
"('C13', 'C30')",22831.713
"('C13', 'C31')",100605.078
"('C13', 'C32')",20011.86
"('C13', 'C33')",15221.142
"('C13', 'C34')",36354.879
"('C13', 'C35')",43025.499
"('C13', 'C36')",27925.641
"('C13', 'C37')",40842.387
"('C13', 'C38')",23104.602
"('C14', 'CD1')",42419.079
"('C14', 'CD2')",55578.393
"('C14', 'CD3')",47482.686
"('C14', 'CD4')",31564.161
"('C14', 'CD5')",50939.28
"('C14', 'CD6')",35596.854
"('C14', 'CD7')",27622.431
"('C14', 'CD8')",35445.249
"('C14', 'CD9')",37992.213
"('C14', 'CD10')",48574.242
"('C14', 'CD11')",28895.913
"('C14', 'CD12')",43389.351
"('C14', 'C1')",49120.02
"('C14', 'C2')",42328.116
"('C14', 'C3')",47422.044
"('C14', 'C4')",34960.113
"('C14', 'C5')",65978.496
"('C14', 'C6')",51788.268
"('C14', 'C7')",32746.68
"('C14', 'C8')",72133.659
"('C14', 'C9')",34808.508
"('C14', 'C10')",4851.36
"('C14', 'C11')",46906.587
"('C14', 'C12')",10127.214
"('C14', 'C13')",51636.663
"('C14', 'C14')",9999999.0
"('C14', 'C15')",30897.099
"('C14', 'C16')",50029.65
"('C14', 'C17')",48634.884
"('C14', 'C18')",42813.252
"('C14', 'C19')",64432.125
"('C14', 'C20')",14614.722
"('C14', 'C21')",29775.222
"('C14', 'C22')",43146.783
"('C14', 'C23')",30897.099
"('C14', 'C24')",17677.143
"('C14', 'C25')",49180.662
"('C14', 'C26')",46754.982
"('C14', 'C27')",36870.336
"('C14', 'C28')",42085.548
"('C14', 'C29')",28653.345
"('C14', 'C30')",32686.038
"('C14', 'C31')",64371.483
"('C14', 'C32')",44359.623
"('C14', 'C33')",66918.447
"('C14', 'C34')",30836.457
"('C14', 'C35')",17101.044
"('C14', 'C36')",58762.098
"('C14', 'C37')",36051.669
"('C14', 'C38')",37294.83
"('C15', 'CD1')",59580.765
"('C15', 'CD2')",41115.276
"('C15', 'CD3')",66857.805
"('C15', 'CD4')",48725.847
"('C15', 'CD5')",33140.853
"('C15', 'CD6')",22467.861
"('C15', 'CD7')",8823.411
"('C15', 'CD8')",38143.818
"('C15', 'CD9')",55123.578
"('C15', 'CD10')",34111.125
"('C15', 'CD11')",26712.801
"('C15', 'CD12')",23711.022
"('C15', 'C1')",36870.336
"('C15', 'C2')",61703.235
"('C15', 'C3')",29623.617
"('C15', 'C4')",54365.553
"('C15', 'C5')",85383.936
"('C15', 'C6')",71193.708
"('C15', 'C7')",49908.366
"('C15', 'C8')",50059.971
"('C15', 'C9')",51970.194
"('C15', 'C10')",22346.577
"('C15', 'C11')",36263.916
"('C15', 'C12')",29744.901
"('C15', 'C13')",33838.236
"('C15', 'C14')",26167.023
"('C15', 'C15')",9999999.0
"('C15', 'C16')",32231.223
"('C15', 'C17')",30836.457
"('C15', 'C18')",23134.923
"('C15', 'C19')",47876.859
"('C15', 'C20')",34020.162
"('C15', 'C21')",46936.908
"('C15', 'C22')",23468.454
"('C15', 'C23')",9399.51
"('C15', 'C24')",9429.831
"('C15', 'C25')",34717.545
"('C15', 'C26')",29350.728
"('C15', 'C27')",22407.219
"('C15', 'C28')",24287.121
"('C15', 'C29')",45815.031
"('C15', 'C30')",14857.29
"('C15', 'C31')",83746.602
"('C15', 'C32')",32261.544
"('C15', 'C33')",49120.02
"('C15', 'C34')",6761.583
"('C15', 'C35')",17343.612
"('C15', 'C36')",39083.769
"('C15', 'C37')",13523.166
"('C15', 'C38')",31169.988
"('C16', 'CD1')",60884.568
"('C16', 'CD2')",46239.525
"('C16', 'CD3')",82078.947
"('C16', 'CD4')",50029.65
"('C16', 'CD5')",3486.915
"('C16', 'CD6')",17282.97
"('C16', 'CD7')",24196.158
"('C16', 'CD8')",32534.433
"('C16', 'CD9')",56427.381
"('C16', 'CD10')",34565.94
"('C16', 'CD11')",31503.519
"('C16', 'CD12')",16555.266
"('C16', 'C1')",32595.075
"('C16', 'C2')",76924.377
"('C16', 'C3')",6700.941
"('C16', 'C4')",69586.695
"('C16', 'C5')",100574.757
"('C16', 'C6')",86414.85
"('C16', 'C7')",51181.848
"('C16', 'C8')",34141.446
"('C16', 'C9')",53273.997
"('C16', 'C10')",48422.637
"('C16', 'C11')",31988.655
"('C16', 'C12')",55457.109
"('C16', 'C13')",19829.934
"('C16', 'C14')",50636.07
"('C16', 'C15')",27774.036
"('C16', 'C16')",9999999.0
"('C16', 'C17')",16797.834
"('C16', 'C18')",8398.917
"('C16', 'C19')",18162.279
"('C16', 'C20')",51485.058
"('C16', 'C21')",48665.205
"('C16', 'C22')",14554.08
"('C16', 'C23')",30139.074
"('C16', 'C24')",31139.667
"('C16', 'C25')",39296.016
"('C16', 'C26')",25075.467
"('C16', 'C27')",26985.69
"('C16', 'C28')",9460.152
"('C16', 'C29')",47513.007
"('C16', 'C30')",22376.898
"('C16', 'C31')",98967.744
"('C16', 'C32')",27986.283
"('C16', 'C33')",35081.397
"('C16', 'C34')",31079.025
"('C16', 'C35')",35020.755
"('C16', 'C36')",19011.267
"('C16', 'C37')",19920.897
"('C16', 'C38')",26348.949
"('C17', 'CD1')",66281.706
"('C17', 'CD2')",64189.557
"('C17', 'CD3')",87476.085
"('C17', 'CD4')",55426.788
"('C17', 'CD5')",20618.28
"('C17', 'CD6')",22680.108
"('C17', 'CD7')",28774.629
"('C17', 'CD8')",27683.073
"('C17', 'CD9')",61824.519
"('C17', 'CD10')",53273.997
"('C17', 'CD11')",36081.99
"('C17', 'CD12')",39053.448
"('C17', 'C1')",22680.108
"('C17', 'C2')",82321.515
"('C17', 'C3')",12886.425
"('C17', 'C4')",74983.833
"('C17', 'C5')",105971.895
"('C17', 'C6')",91811.988
"('C17', 'C7')",56609.307
"('C17', 'C8')",52061.157
"('C17', 'C9')",58671.135
"('C17', 'C10')",53001.108
"('C17', 'C11')",21103.416
"('C17', 'C12')",60035.58
"('C17', 'C13')",6609.978
"('C17', 'C14')",55214.541
"('C17', 'C15')",32352.507
"('C17', 'C16')",19708.65
"('C17', 'C17')",9999999.0
"('C17', 'C18')",29957.148
"('C17', 'C19')",19405.44
"('C17', 'C20')",56063.529
"('C17', 'C21')",54062.343
"('C17', 'C22')",34990.434
"('C17', 'C23')",34717.545
"('C17', 'C24')",35718.138
"('C17', 'C25')",58731.777
"('C17', 'C26')",15160.5
"('C17', 'C27')",46421.451
"('C17', 'C28')",14857.29
"('C17', 'C29')",35233.002
"('C17', 'C30')",23771.664
"('C17', 'C31')",104364.882
"('C17', 'C32')",17101.044
"('C17', 'C33')",21891.762
"('C17', 'C34')",35627.175
"('C17', 'C35')",39599.226
"('C17', 'C36')",32322.186
"('C17', 'C37')",37507.077
"('C17', 'C38')",20163.465
"('C18', 'CD1')",67646.151
"('C18', 'CD2')",28623.024
"('C18', 'CD3')",87324.48
"('C18', 'CD4')",56791.233
"('C18', 'CD5')",7913.781
"('C18', 'CD6')",24044.553
"('C18', 'CD7')",25014.825
"('C18', 'CD8')",39296.016
"('C18', 'CD9')",63188.964
"('C18', 'CD10')",24226.479
"('C18', 'CD11')",31109.346
"('C18', 'CD12')",10005.93
"('C18', 'C1')",39356.658
"('C18', 'C2')",82169.91
"('C18', 'C3')",13462.524
"('C18', 'C4')",74832.228
"('C18', 'C5')",105850.611
"('C18', 'C6')",91660.383
"('C18', 'C7')",57943.431
"('C18', 'C8')",38719.917
"('C18', 'C9')",60035.58
"('C18', 'C10')",48058.785
"('C18', 'C11')",38750.238
"('C18', 'C12')",55062.936
"('C18', 'C13')",26591.517
"('C18', 'C14')",50241.897
"('C18', 'C15')",17707.464
"('C18', 'C16')",9551.115
"('C18', 'C17')",23559.417
"('C18', 'C18')",9999999.0
"('C18', 'C19')",25196.751
"('C18', 'C20')",51121.206
"('C18', 'C21')",55426.788
"('C18', 'C22')",8489.88
"('C18', 'C23')",20072.502
"('C18', 'C24')",27137.295
"('C18', 'C25')",32746.68
"('C18', 'C26')",31837.05
"('C18', 'C27')",20436.354
"('C18', 'C28')",16221.735
"('C18', 'C29')",54274.59
"('C18', 'C30')",18829.341
"('C18', 'C31')",104243.598
"('C18', 'C32')",34747.866
"('C18', 'C33')",30078.432
"('C18', 'C34')",18131.958
"('C18', 'C35')",35839.422
"('C18', 'C36')",16403.661
"('C18', 'C37')",13371.561
"('C18', 'C38')",33110.532
"('C19', 'CD1')",74498.697
"('C19', 'CD2')",59368.518
"('C19', 'CD3')",95693.076
"('C19', 'CD4')",63643.779
"('C19', 'CD5')",21952.404
"('C19', 'CD6')",30897.099
"('C19', 'CD7')",36991.62
"('C19', 'CD8')",39265.695
"('C19', 'CD9')",70071.831
"('C19', 'CD10')",45996.957
"('C19', 'CD11')",44298.981
"('C19', 'CD12')",33868.557
"('C19', 'C1')",34262.73
"('C19', 'C2')",90538.506
"('C19', 'C3')",21133.737
"('C19', 'C4')",83200.824
"('C19', 'C5')",114219.207
"('C19', 'C6')",100028.979
"('C19', 'C7')",64826.298
"('C19', 'C8')",46330.488
"('C19', 'C9')",66888.126
"('C19', 'C10')",61248.42
"('C19', 'C11')",32686.038
"('C19', 'C12')",68252.571
"('C19', 'C13')",13492.845
"('C19', 'C14')",63431.532
"('C19', 'C15')",40569.498
"('C19', 'C16')",20042.181
"('C19', 'C17')",15008.895
"('C19', 'C18')",26652.159
"('C19', 'C19')",9999999.0
"('C19', 'C20')",64310.841
"('C19', 'C21')",62279.334
"('C19', 'C22')",30472.605
"('C19', 'C23')",42934.536
"('C19', 'C24')",43935.129
"('C19', 'C25')",53759.133
"('C19', 'C26')",26743.122
"('C19', 'C27')",44298.981
"('C19', 'C28')",23074.281
"('C19', 'C29')",61157.457
"('C19', 'C30')",32018.976
"('C19', 'C31')",112612.194
"('C19', 'C32')",28653.345
"('C19', 'C33')",7549.929
"('C19', 'C34')",43874.487
"('C19', 'C35')",47846.538
"('C19', 'C36')",24014.232
"('C19', 'C37')",37203.867
"('C19', 'C38')",31746.087
"('C20', 'CD1')",33110.532
"('C20', 'CD2')",71678.844
"('C20', 'CD3')",42176.511
"('C20', 'CD4')",21103.416
"('C20', 'CD5')",58913.703
"('C20', 'CD6')",37658.682
"('C20', 'CD7')",35627.175
"('C20', 'CD8')",32504.112
"('C20', 'CD9')",32382.828
"('C20', 'CD10')",64674.693
"('C20', 'CD11')",30957.741
"('C20', 'CD12')",51363.774
"('C20', 'C1')",50120.613
"('C20', 'C2')",37021.941
"('C20', 'C3')",55426.788
"('C20', 'C4')",29684.259
"('C20', 'C5')",60702.642
"('C20', 'C6')",46512.414
"('C20', 'C7')",23983.911
"('C20', 'C8')",80108.082
"('C20', 'C9')",29229.444
"('C20', 'C10')",14887.611
"('C20', 'C11')",47937.501
"('C20', 'C12')",13098.672
"('C20', 'C13')",59641.407
"('C20', 'C14')",13735.413
"('C20', 'C15')",38871.522
"('C20', 'C16')",58004.073
"('C20', 'C17')",56609.307
"('C20', 'C18')",50817.996
"('C20', 'C19')",72436.869
"('C20', 'C20')",9999999.0
"('C20', 'C21')",30775.815
"('C20', 'C22')",51121.206
"('C20', 'C23')",41236.56
"('C20', 'C24')",27925.641
"('C20', 'C25')",65281.113
"('C20', 'C26')",47755.575
"('C20', 'C27')",52970.787
"('C20', 'C28')",50059.971
"('C20', 'C29')",29653.938
"('C20', 'C30')",40660.461
"('C20', 'C31')",59065.308
"('C20', 'C32')",45360.216
"('C20', 'C33')",74892.87
"('C20', 'C34')",38810.88
"('C20', 'C35')",27228.258
"('C20', 'C36')",66736.521
"('C20', 'C37')",44056.413
"('C20', 'C38')",34353.693
"('C21', 'CD1')",22073.688
"('C21', 'CD2')",82169.91
"('C21', 'CD3')",49423.23
"('C21', 'CD4')",17101.044
"('C21', 'CD5')",51242.49
"('C21', 'CD6')",40448.214
"('C21', 'CD7')",46087.92
"('C21', 'CD8')",20224.107
"('C21', 'CD9')",12158.721
"('C21', 'CD10')",75165.759
"('C21', 'CD11')",25924.455
"('C21', 'CD12')",61854.84
"('C21', 'C1')",30715.173
"('C21', 'C2')",44268.66
"('C21', 'C3')",52819.182
"('C21', 'C4')",36900.657
"('C21', 'C5')",67919.04
"('C21', 'C6')",53728.812
"('C21', 'C7')",18404.847
"('C21', 'C8')",91023.642
"('C21', 'C9')",7913.781
"('C21', 'C10')",28016.604
"('C21', 'C11')",28532.061
"('C21', 'C12')",35020.755
"('C21', 'C13')",37658.682
"('C21', 'C14')",30199.716
"('C21', 'C15')",49362.588
"('C21', 'C16')",55426.788
"('C21', 'C17')",54032.022
"('C21', 'C18')",53789.454
"('C21', 'C19')",48847.131
"('C21', 'C20')",34444.656
"('C21', 'C21')",9999999.0
"('C21', 'C22')",61612.272
"('C21', 'C23')",51727.626
"('C21', 'C24')",38416.707
"('C21', 'C25')",75741.858
"('C21', 'C26')",28350.135
"('C21', 'C27')",63431.532
"('C21', 'C28')",45633.105
"('C21', 'C29')",1273.482
"('C21', 'C30')",42813.252
"('C21', 'C31')",66312.027
"('C21', 'C32')",25954.776
"('C21', 'C33')",51333.453
"('C21', 'C34')",49271.625
"('C21', 'C35')",43571.277
"('C21', 'C36')",68677.065
"('C21', 'C37')",54517.158
"('C21', 'C38')",23923.269
"('C22', 'CD1')",75044.475
"('C22', 'CD2')",22710.429
"('C22', 'CD3')",91569.42
"('C22', 'CD4')",64189.557
"('C22', 'CD5')",12734.82
"('C22', 'CD6')",31442.877
"('C22', 'CD7')",24256.8
"('C22', 'CD8')",45420.858
"('C22', 'CD9')",70587.288
"('C22', 'CD10')",18283.563
"('C22', 'CD11')",35323.965
"('C22', 'CD12')",4881.681
"('C22', 'C1')",46754.982
"('C22', 'C2')",86414.85
"('C22', 'C3')",20860.848
"('C22', 'C4')",79077.168
"('C22', 'C5')",110065.23
"('C22', 'C6')",95875.002
"('C22', 'C7')",65341.755
"('C22', 'C8')",27955.962
"('C22', 'C9')",67433.904
"('C22', 'C10')",39447.621
"('C22', 'C11')",46148.562
"('C22', 'C12')",46845.945
"('C22', 'C13')",33959.52
"('C22', 'C14')",43268.067
"('C22', 'C15')",17101.044
"('C22', 'C16')",16919.118
"('C22', 'C17')",30957.741
"('C22', 'C18')",7853.139
"('C22', 'C19')",32595.075
"('C22', 'C20')",55335.825
"('C22', 'C21')",59429.16
